bgm_id,game_title,current_title,proposed_title,confidence,source,reason
173,Armored Core VI: Fires of Rubicon,Contact With You,Contact With You,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
174,Armored Core VI: Fires of Rubicon,Steel Haze (Rusted Pride),Steel Haze (Rusted Pride),high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
175,Ace Combat 04: Shattered Skies,Megalith -Agnus Dei-,Megalith -Agnus Dei-,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
176,Ace Combat Zero: The Belkan War,ZERO,ZERO,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
177,Ace Combat 7: Skies Unknown,Daredevil,Daredevil,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
178,Gran Turismo,Moon Over the Castle,Moon Over the Castle,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
179,Granblue Fantasy: Relink,End of Ragnarok,End of Ragnarok,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
180,Genshin Impact,Rex Incognito,Rex Incognito,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
181,Genshin Impact,Polumnia Omnia,Polumnia Omnia,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
182,Genshin Impact,La vaguelette,La vaguelette,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
183,Honkai: Star Rail,Wildfire,Wildfire,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
184,Honkai: Star Rail,Samudrartha,Samudrartha,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
185,Honkai: Star Rail,Hope Is the Thing With Feathers,Hope Is the Thing With Feathers,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
186,Blue Archive,Unwelcome School,Unwelcome School,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
187,Blue Archive,Constant Moderato,Constant Moderato,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
188,Goddess of Victory: Nikke,We Rise,We Rise,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
189,Goddess of Victory: Nikke,The Red Hood,The Red Hood,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
190,Limbus Company,Compass,Compass,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
196,Street Fighter V,Cody's Theme,Cody's Theme,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
213,Genshin Impact,Liyue,Liyue,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
216,Ace Combat 04: Shattered Skies,Comona,Comona,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
217,Portal 2,Want You Gone,Want You Gone,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
218,Honkai Star Rail,Take the Journey,Take the Journey,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
219,Super Mario Odyssey,Fossil Falls,Fossil Falls,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
221,Ace Combat 5: The Unsung War,The Unsung War,The Unsung War,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
222,Undertale,Heartache,Heartache,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
223,Zenless Zone Zero,Come Alive,Come Alive,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
226,Ace Combat Zero: The Belkan War,The Round Table,The Round Table,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
227,Deltarune,Rude Buster,Rude Buster,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
228,Blue Archive,Aoharu,Aoharu,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
231,Ace Combat 7: Skies Unknown,Magic Spear I,Magic Spear I,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
232,Hollow Knight,City of Tears,City of Tears,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
233,Limbus Company,Between Two Worlds,Between Two Worlds,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
234,Monster Hunter Rise,Brave Hunters,Brave Hunters,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
235,Armored Core VI: Fires of Rubicon,Rough and Decent,Rough and Decent,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
238,Celeste,First Steps,First Steps,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
240,Monster Hunter Wilds,Main Theme,Main Theme,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
241,Metal Gear Solid 2: Sons of Liberty,Main Theme,Main Theme,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
242,Sound Voltex Nabla,Bangin' Burst,Bangin' Burst,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
244,Devil May Cry 3: Dante's Awakening,Taste the Blood,Taste the Blood,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
245,Metal Gear Solid 3: Snake Eater,Way to Fall,Way to Fall,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
246,Hades II,Coral Crown,Coral Crown,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
248,Silent Hill f,Silent Hill,Silent Hill,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
250,Ori and the Blind Forest,"Restoring the Light, Facing the Dark","Restoring the Light, Facing the Dark",high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
254,Ori and the Will of the Wisps,Escaping a Foul Presence,Escaping a Foul Presence,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
255,Hatsune Miku: Colorful Stage!,Ready Steady,Ready Steady,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
257,Final Fantasy XV,Somnus,Somnus,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
258,The Witcher 3: Wild Hunt,Geralt of Rivia,Geralt of Rivia,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
259,Stardew Valley,Summer (Nature's Crescendo),Summer (Nature's Crescendo),high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
260,Hatsune Miku: Project Diva,The Disappearance of Hatsune Miku,The Disappearance of Hatsune Miku,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
261,Final Fantasy XVI,Ascension,Ascension,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
262,Cyberpunk 2077,Never Fade Away,Never Fade Away,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
263,Terraria,Underground,Underground,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
264,Kirby Super Star,Candy Mountain,Candy Mountain,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
266,Red Dead Redemption 2,That's the Way It Is,That's the Way It Is,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
267,Minecraft: Java Edition,Subwoofer Lullaby,Subwoofer Lullaby,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
268,Genshin Impact,Rapid as Wildfires,Rapid as Wildfires,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
269,Final Fantasy VII Rebirth,No Promises to Keep,No Promises to Keep,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
270,Ōkami,Reset,Reset,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
271,Halo: Combat Evolved,Halo,Halo,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
272,Minecraft,Pigstep,Pigstep,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
273,Honkai Star Rail,Pedujara: Even Immortality Ends,Pedujara: Even Immortality Ends,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
275,Final Fantasy XIV: Endwalker,Footfalls,Footfalls,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
276,Halo 2,Halo Theme Mjolnir Mix,Halo Theme Mjolnir Mix,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
277,Ultrakill,The Cyber Grind,The Cyber Grind,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
278,Zenless Zone Zero,60% Daily,60% Daily,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
280,Halo 3,One Final Effort,One Final Effort,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
281,Omori,World's End Valentine,World's End Valentine,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
282,Blue Archive,Usagi Flap,Usagi Flap,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
284,Doom (1993),At Doom's Gate,At Doom's Gate,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
285,Limbus Company,"Fly, My Wings","Fly, My Wings",high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
287,Doom (2016),BFG Division,BFG Division,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
288,Portal 2,Cara Mia Addio,Cara Mia Addio,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
290,Kingdom Hearts II,Sanctuary,Sanctuary,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
291,Doom Eternal,The Only Thing They Fear Is You,The Only Thing They Fear Is You,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
292,Undertale,Bonetrousle,Bonetrousle,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
295,Deltarune,The World Revolving,The World Revolving,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
296,Sound Voltex Nabla,For UltraPlayers,For UltraPlayers,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
299,Sonic Frontiers,I'm Here,I'm Here,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
300,The Last of Us,The Last of Us,The Last of Us,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
301,Hollow Knight,Mantis Lords,Mantis Lords,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
302,Beatmania IIDX,V,V,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
304,Sonic X Shadow Generations,All Hail Shadow,All Hail Shadow,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
305,God of War,God of War,God of War,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
308,Yakuza 0,24-Hour Cinderella,24-Hour Cinderella,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
309,Ghost of Tsushima,The Way of the Ghost,The Way of the Ghost,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
310,Celeste,Scattered and Lost,Scattered and Lost,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
314,Baldur's Gate III,Raphael's Final Act,Raphael's Final Act,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
318,Hades II,The Titan of Time,The Titan of Time,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
319,Hatsune Miku: Project Diva,World is Mine,World is Mine,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
322,Ace Combat 04: Shattered Skies,Blockade,Blockade,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
324,The World Ends with You,Calling,Calling,high,現行DB表記および日本国内向け公式情報調査（日本語公式名を確認できず）,公式曲名自体が英語、または日本語の公式曲名を信頼できる一次情報で確認できないため現行表記を維持する。 タイトル変更時はnormalized_titleも同一トランザクションで同期し、BGM IDは変更しない。
