rank,bgm_title,source_game_title,logical_game_name,existing_game_id,igdb_id,status,confidence,source,reason
122,Sanctuary,Kingdom Hearts II,Kingdom Hearts II,190,1221,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 290（Sanctuary）と同一logical game・同一または公式対応タイトル
123,Supporting Me,Sonic Adventure 2,Sonic Adventure 2,,7858,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
124,The Only Thing They Fear Is You,DOOM Eternal,Doom Eternal,141,103298,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 291（The Only Thing They Fear Is You）と同一logical game・同一または公式対応タイトル
125,Bonetrousle,Undertale,Undertale,289,12517,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 292（Bonetrousle）と同一logical game・同一または公式対応タイトル
126,End Time,CHUNITHM,Chunithm,,56388,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
127,戦闘！野生ポケモン,ポケットモンスター ブラック・ホワイト,ポケットモンスター ブラック・ホワイト,97,1522|1521,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 293（戦闘！野生ポケモン）と同一logical game・同一または公式対応タイトル
128,Song of the Ancients / Devola,NieR Replicant,Nier Replicant,221,80468,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 294（イニシエノウタ／デボル）と同一logical game・同一または公式対応タイトル
129,Rooftop Run - Day,Sonic Unleashed,Sonic Unleashed,,133942,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
130,Suicide Mission,Mass Effect 2,Mass Effect 2,,74,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
131,The World Revolving,Deltarune,Deltarune,136,171233,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 295（The World Revolving）と同一logical game・同一または公式対応タイトル
132,For UltraPlayers,SOUND VOLTEX,Sound Voltex Nabla,257,382474,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 296（For UltraPlayers）と同一logical game・同一または公式対応タイトル
133,戦闘！アクロマ,ポケットモンスター ブラック2・ホワイト2,ポケットモンスター ブラック2・ホワイト2,6,8284|8353,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 297（戦闘！アクロマ）と同一logical game・同一または公式対応タイトル
134,City Ruins - Rays of Light,NieR: Automata,NieR: Automata,222,11208,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 298（遺サレタ場所／斜光）と同一logical game・同一または公式対応タイトル
135,I'm Here,Sonic Frontiers,Sonic Frontiers,254,150010,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 299（I'm Here）と同一logical game・同一または公式対応タイトル
136,The Last of Us,The Last of Us,The Last of Us,274,1009,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 300（The Last of Us）と同一logical game・同一または公式対応タイトル
137,Mantis Lords,Hollow Knight,Hollow Knight,183,14593,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 301（Mantis Lords）と同一logical game・同一または公式対応タイトル
138,V,beatmania IIDX,Beatmania IIDX,121,94920,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 302（V）と同一logical game・同一または公式対応タイトル
139,戦闘！ヒガナ,Pokémon Omega Ruby and Alpha Sapphire,Pokémon Omega Ruby and Alpha Sapphire,236,6897|6898,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 303（戦闘！ヒガナ）と同一logical game・同一または公式対応タイトル
140,Overture,Dragon Quest III,Dragon Warrior III,,205600,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
141,All Hail Shadow,Sonic X Shadow Generations,Sonic X Shadow Generations,256,284716,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 304（All Hail Shadow）と同一logical game・同一または公式対応タイトル
142,God of War,God of War (2018),God of War,169,19560,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 305（God of War）と同一logical game・同一または公式対応タイトル
143,Bellhart,Hollow Knight: Silksong,Hollow Knight Silksong,,372563,needs_review,medium,https://thegameawards.com/nominees/best-score-and-music,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
144,I'm so Happy,jubeat,Jubeat,,79960,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
145,戦闘！ウルトラネクロズマ,Pokémon Ultra Sun and Ultra Moon,Pokémon Ultra Sun and Ultra Moon,238,36792|36793,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 306（戦闘！ウルトラネクロズマ）と同一logical game・同一または公式対応タイトル
146,Battle at Journey's End,Octopath Traveler,Octopath Traveler,223,26765,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 307（旅路の果てに立ちはだかる者）と同一logical game・同一または公式対応タイトル
147,24-Hour Cinderella,Like a Dragon 0,Yakuza 0,295,11397,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 308（24-Hour Cinderella）と同一logical game・同一または公式対応タイトル
148,The Way of the Ghost,Ghost of Tsushima,Ghost of Tsushima,167,75235,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 309（The Way of the Ghost）と同一logical game・同一または公式対応タイトル
149,Scattered and Lost,Celeste,Celeste,127,26226,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 310（Scattered and Lost）と同一logical game・同一または公式対応タイトル
150,幽玄ノ乱,Taiko no Tatsujin,Taiko no Tatsujin: Niji-iro Version,267,319924,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 311（幽玄ノ乱）と同一logical game・同一または公式対応タイトル
151,戦闘！マリィ,ポケットモンスター ソード・シールド,ポケットモンスター ソード・シールド,100,115653|37382,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 312（戦闘！マリィ）と同一logical game・同一または公式対応タイトル
152,Critical Clash II,Octopath Traveler II,Octopath Traveler II,224,217554,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 313（決戦2）と同一logical game・同一または公式対応タイトル
153,Jin Kazama Theme,Tekken 3,Tekken 3,,1244,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
154,Raphael's Final Act,Baldur's Gate 3,Baldur's Gate III,119,119171,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 314（Raphael's Final Act）と同一logical game・同一または公式対応タイトル
155,Out of Tartarus,Hades,Hades,,80529,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
156,セカイ,Project SEKAI COLORFUL STAGE!,Hatsune Miku: Colorful Stage!,180,139134,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 315（セカイ）と同一logical game・同一または公式対応タイトル
157,戦闘！ウォロ,Pokémon Legends: Arceus,Pokémon Legends: Arceus,235,144054,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 316（戦闘！ウォロ）と同一logical game・同一または公式対応タイトル
158,That Person's Name Is,Bravely Default,Bravely Default,124,4700,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 317（彼の者の名は）と同一logical game・同一または公式対応タイトル
159,Sparking,Tekken 5,Tekken 5,,393526,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
160,The Drive,Resident Evil 4,Resident Evil 4,,974,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
161,The Titan of Time,Hades II,Hades II,175,228525,existing_duplicate,high,https://thegameawards.com/nominees/best-score-and-music,既存BGM ID 318（The Titan of Time）と同一logical game・同一または公式対応タイトル
162,World is Mine,Hatsune Miku: Project DIVA,Hatsune Miku: Project Diva,181,11754,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 319（World is Mine）と同一logical game・同一または公式対応タイトル
163,戦闘！スター団,ポケットモンスター スカーレット・バイオレット,ポケットモンスター スカーレット・バイオレット,92,191930|191931,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 320（戦闘！スター団）と同一logical game・同一または公式対応タイトル
164,Megalomania,Live A Live,Live A Live,,15835,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
165,Ornstein & Smough,Dark Souls,Dark Souls,130,2155,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 321（Ornstein & Smough）と同一logical game・同一または公式対応タイトル
166,Blockade,Ace Combat 04: Shattered Skies,Ace Combat 04: Shattered Skies,103,9763,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 322（Blockade）と同一logical game・同一または公式対応タイトル
167,Botanic Panic,Cuphead,Cuphead,,9061,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
168,M@STERPIECE,The Idolmaster,The Idolmaster,,281482,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
169,時の海を越えて,ポケモン不思議のダンジョン 時の探検隊・闇の探検隊,ポケモン不思議のダンジョン 時の探検隊・闇の探検隊,91,2322|2321,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 323（時の海を越えて）と同一logical game・同一または公式対応タイトル
170,Calling,The World Ends with You,The World Ends with You,286,1343,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 324（Calling）と同一logical game・同一または公式対応タイトル
171,Abyss Watchers,Dark Souls III,Dark Souls III,132,11133,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 325（Abyss Watchers）と同一logical game・同一または公式対応タイトル
172,First Flight,Ace Combat 5: The Unsung War,Ace Combat 5: The Unsung War,104,14753,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 326（First Flight）と同一logical game・同一または公式対応タイトル
173,"Naru, Embracing the Light",Ori and the Blind Forest,Ori and the Blind Forest,227,7344,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,"既存BGM ID 327（Naru, Embracing the Light）と同一logical game・同一または公式対応タイトル"
174,Childe Boss Theme (Rapture of the Chaos),Genshin Impact,Genshin Impact,166,119277,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 328（Childe Boss Theme (Rapture of the Chaos)）と同一logical game・同一または公式対応タイトル
175,シオカラ節,Splatoon,Splatoon,258,7335,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 329（シオカラ節）と同一logical game・同一または公式対応タイトル
176,四魔貴族バトル1,Romancing SaGa 3,Romancing SaGa 3,,11313,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
177,Cleric Beast,Bloodborne,Bloodborne,122,7334,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 330（Cleric Beast）と同一logical game・同一または公式対応タイトル
178,Mayhem,Ace Combat Zero: The Belkan War,Ace Combat Zero: The Belkan War,106,14754,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 331（Mayhem）と同一logical game・同一または公式対応タイトル
179,Shriek and Ori,Ori and the Will of the Wisps,Ori and the Will of the Wisps,228,37001,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 332（Shriek and Ori）と同一logical game・同一または公式対応タイトル
180,Nevermore,Honkai: Star Rail,Honkai Star Rail,7,178282,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 333（Nevermore）と同一logical game・同一または公式対応タイトル
181,フライ・オクト・フライ,Splatoon 2,Splatoon 2,259,26761,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 334（フライ・オクト・フライ）と同一logical game・同一または公式対応タイトル
182,七英雄バトル,Romancing SaGa 2,Romancing SaGa 2,246,11312,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 335（七英雄バトル）と同一logical game・同一または公式対応タイトル
183,Genichiro Ashina,Sekiro: Shadows Die Twice,Sekiro: Shadows Die Twice,248,76882,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 336（葦名弦一郎）と同一logical game・同一または公式対応タイトル
184,Mimic,Ace Combat 7: Skies Unknown,Ace Combat 7: Skies Unknown,105,14758,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 337（Mimic）と同一logical game・同一または公式対応タイトル
185,Fall (The Smell of Mushroom),Stardew Valley,Stardew Valley,261,17000,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 338（Fall (The Smell of Mushroom)）と同一logical game・同一または公式対応タイトル
186,Anarchy Rainbow,Splatoon 3,Splatoon 3,260,143613,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 339（Anarchy Rainbow）と同一logical game・同一または公式対応タイトル
187,Fear of the Heavens,Secret of Mana,Secret of Mana,,3216,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
188,Main Theme,Elden Ring,Elden Ring,144,119133,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 340（Main Theme）と同一logical game・同一または公式対応タイトル
189,The Man Who Burned It All,Armored Core VI: Fires of Rubicon,Armored Core VI: Fires of Rubicon,111,228542,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 341（The Man Who Burned It All）と同一logical game・同一または公式対応タイトル
190,Boss 1,Terraria,Terraria,271,1879,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 342（Boss 1）と同一logical game・同一または公式対応タイトル
191,Opening,Super Smash Bros. Melee,Super Smash Bros. Melee,265,1627,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 343（Opening）と同一logical game・同一または公式対応タイトル
192,Burn My Dread,Persona 3,Persona 3,229,9577,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 344（Burn My Dread）と同一logical game・同一または公式対応タイトル
193,Divine Beast Dancing Lion,Elden Ring: Shadow of the Erdtree,Elden Ring: Shadow of the Erdtree,145,240009,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 345（Divine Beast Dancing Lion）と同一logical game・同一または公式対応タイトル
194,The Best Is Yet to Come,Metal Gear Solid,Metal Gear Solid,,375,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
195,Living Mice,Minecraft: Java Edition,Minecraft: Java Edition,210,121,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 346（Living Mice）と同一logical game・同一または公式対応タイトル
196,Main Theme,Super Smash Bros. Brawl,Super Smash Bros. Brawl,,1628,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
197,Full Moon Full Life,Persona 3 Reload,Persona 3 Reload,230,252647,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2024/,既存BGM ID 347（Full Moon Full Life）と同一logical game・同一または公式対応タイトル
198,A Stranger I Remain,Metal Gear Rising: Revengeance,Metal Gear Rising: Revengeance,204,378,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 348（A Stranger I Remain）と同一logical game・同一または公式対応タイトル
199,Can't Say Goodbye to Yesterday,Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty,205,376,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 349（Can't Say Goodbye to Yesterday）と同一logical game・同一または公式対応タイトル
200,Otherside,Minecraft,Minecraft,209,135400,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 350（Otherside）と同一logical game・同一または公式対応タイトル
201,Don't Speak Her Name!,Fire Emblem Awakening,Fire Emblem Awakening,158,1443,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 351（貴様らが…姉さんの言葉を語るな！）と同一logical game・同一または公式対応タイトル
202,"Heartbeat, Heartbreak",Persona 4,Persona 4,231,9600,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,"既存BGM ID 352（Heartbeat, Heartbreak）と同一logical game・同一または公式対応タイトル"
203,Lost Painting,Castlevania: Symphony of the Night,Castlevania: Symphony of the Night,,1128,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補6件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
204,Battle in the Base,Metal Gear Solid 3: Snake Eater,Metal Gear Solid 3: Snake Eater,206,379,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 353（Battle in the Base）と同一logical game・同一または公式対応タイトル
205,ORDER,ULTRAKILL,Ultrakill,288,124333,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 354（ORDER）と同一logical game・同一または公式対応タイトル
206,Lost in Thoughts All Alone,Fire Emblem Fates,Fire Emblem Fates: Special Edition,160,10229,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 355（if～ひとり思う～）と同一logical game・同一または公式対応タイトル
207,Last Surprise,Persona 5,Persona 5,232,9927,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 356（Last Surprise）と同一logical game・同一または公式対応タイトル
208,Flooded Commercial Sector,Stellar Blade,Stellar Blade,262,117170,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 357（Flooded Commercial Sector）と同一logical game・同一または公式対応タイトル
209,Not Tomorrow,Silent Hill,Silent Hill f,253,222343,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 358（Not Tomorrow）と同一logical game・同一または公式対応タイトル
210,Final Duet,OMORI,Omori,226,26673,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 359（Final Duet）と同一logical game・同一または公式対応タイトル
211,God-Shattering Star,Fire Emblem: Three Houses,Fire Emblem: Three Houses,165,26845,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 115（この世界の頂で）と同一logical game・同一または公式対応タイトル
212,I Believe,Persona 5 Royal,Persona 5 Royal,233,114283,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 361（I Believe）と同一logical game・同一または公式対応タイトル
213,Roar / Rathalos,Monster Hunter,Monster Hunter,4,384972,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存logical game一致。同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
214,Promise,Silent Hill 2,Silent Hill 2,,481,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
215,Science Is Fun,Portal 2,Portal 2,239,72,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 362（Science Is Fun）と同一logical game・同一または公式対応タイトル
216,Aquatic Ambience,Donkey Kong Country,Donkey Kong Country,,1090,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
217,Battle Theme,Metaphor: ReFantazio,Metaphor: ReFantazio,208,26602,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 363（Battle Theme）と同一logical game・同一または公式対応タイトル
218,Ceadeus Battle,Monster Hunter 3,Monster Hunter Tri,217,2268,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 364（月震／ナバルデウス）と同一logical game・同一または公式対応タイトル
219,Spear of Justice,Undertale,Undertale,289,12517,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 365（Spear of Justice）と同一logical game・同一または公式対応タイトル
220,Forest Interlude,Donkey Kong Country 2: Diddy's Kong Quest,Donkey Kong Country 2: Diddy's Kong Quest,138,1092,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 366（Forest Interlude）と同一logical game・同一または公式対応タイトル
221,Sunshine Coastline,Ys VIII: Lacrimosa of Dana,Ys VIII: Lacrimosa of Dana,301,27304,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 367（Sunshine Coastline）と同一logical game・同一または公式対応タイトル
222,Silver-Winged Star / Valstrax,Monster Hunter Generations Ultimate,Monster Hunter Generations Ultimate,214,25623,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 368（銀翼の凶星／バルファルク）と同一logical game・同一または公式対応タイトル
223,Mute City,F-Zero,F-Zero,146,3490,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 369（Mute City）と同一logical game・同一または公式対応タイトル
224,"Silver Will, Golden Wings",Trails in the Sky SC,The Legend of Heroes: Trails in the Sky SC,276,16665,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,"既存BGM ID 370（Silver Will, Golden Wings）と同一logical game・同一または公式対応タイトル"
225,Pride of a Nameless Hunter,Monster Hunter: World,Monster Hunter: World,2,36926,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 371（名もなき狩人の矜持）と同一logical game・同一または公式対応タイトル
226,地下BGM,Super Mario Bros.,Super Mario Bros.,,358,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
227,Meaning of Birth,Tales of the Abyss,Tales of the Abyss,,1207,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
228,Brutish Indigo Rages / Brachydios,Monster Hunter: World - Iceborne,Monster Hunter: World - Iceborne,219,113344,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 372（剛き紺藍 ～ブラキディオス）と同一logical game・同一または公式対応タイトル
229,Bowser's Galaxy Generator,Super Mario Galaxy,Super Mario Galaxy,,1077,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
230,Lumière,Clair Obscur: Expedition 33,Clair Obscur: Expedition 33,128,305152,existing_duplicate,high,https://thegameawards.com/nominees/best-score-and-music,既存BGM ID 373（Lumière）と同一logical game・同一または公式対応タイトル
231,Sanctuary Abandoned by the Gods,Monster Hunter Rise,Monster Hunter Rise,215,138950,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 374（神が去りし、廃忘の社）と同一logical game・同一または公式対応タイトル
232,Break Free (Lead the Way),Super Mario Odyssey,Super Mario Odyssey,264,26758,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 375（Break Free (Lead the Way)）と同一logical game・同一または公式対応タイトル
233,Engage the Enemy,Xenoblade Chronicles,Xenoblade Chronicles,291,2364,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 376（敵との対峙）と同一logical game・同一または公式対応タイトル
234,Proof of a Hero - Sunbreak Version,Monster Hunter Rise: Sunbreak,,216,,known_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,『英雄の証：Sunbreak ver.』の英語表記で同一バージョン
235,Coconut Mall,Mario Kart Wii,Mario Kart Wii,,2183,needs_review,medium,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
236,Mor Ardain - Roaming the Wastes,Xenoblade Chronicles 2,Xenoblade Chronicles 2,292,26766,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 377（スペルビア帝国 ～赤土を駆け抜けて～）と同一logical game・同一または公式対応タイトル
237,The White Wraith,Monster Hunter Wilds,Monster Hunter Wilds,218,279661,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 378（白の孤影／アルシュベルド）と同一logical game・同一または公式対応タイトル
238,Dungeon Theme,The Legend of Zelda,The Legend of Zelda,279,1022,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 379（地下BGM）と同一logical game・同一または公式対応タイトル
239,Keves Battle,Xenoblade Chronicles 3,Xenoblade Chronicles 3,293,191411,existing_duplicate,high,https://www.playstation.com/ja-jp/local/events/playstation-game-music-awards/ranking2025/,既存BGM ID 380（ケヴェス戦闘）と同一logical game・同一または公式対応タイトル
240,Divine Hate,Devil May Cry 3: Dante's Awakening,Devil May Cry 3: Dante's Awakening,137,136,existing_duplicate,high,https://w.atwiki.jp/gamemusicbest100/pages/11034.html,既存BGM ID 381（Divine Hate）と同一logical game・同一または公式対応タイトル
