logical_game_name,normalized_name,source_game_title,primary_igdb_id,all_igdb_ids,released,image_url_candidate,confidence,notes
Like a Dragon: Infinite Wealth - Master Vacation Bundle,likeadragoninfinitewealthmastervacationbundle,Like a Dragon: Infinite Wealth,288217,288217,2024-01-24,https://images.igdb.com/igdb/image/upload/t_cover_big/co9s3j.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Limbus Company,limbuscompany,Limbus Company,194106,194106,2023-02-27,https://images.igdb.com/igdb/image/upload/t_cover_big/co630b.jpg,high,IGDB正式名・別名の完全一致候補が1件
Live A Live,livealive,Live A Live,15835,15835,1994-09-02,https://images.igdb.com/igdb/image/upload/t_cover_big/co2ywe.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Love Live! School Idol Festival,loveliveschoolidolfestival,Love Live! School Idol Festival,36660,36660,2013-04-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co5y7m.jpg,high,IGDB正式名・別名の完全一致候補が1件
Maimai,maimai,maimai,60813,60813,2012-07-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co30q9.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mario & Luigi: Bowser's Inside Story,marioluigibowsersinsidestory,Mario & Luigi: Bowser's Inside Story,3363,3363,2009-02-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co21vr.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mario Kart 64,mariokart64,Mario Kart 64,2342,2342,1996-12-14,https://images.igdb.com/igdb/image/upload/t_cover_big/co67hm.jpg,high,IGDB正式名・別名の完全一致候補が1件
Mario Kart 8 Deluxe,mariokart8deluxe,Mario Kart 8 Deluxe,26764,26764,2017-04-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co213p.jpg,high,IGDB正式名・別名の完全一致候補が1件
Mario Kart Wii,mariokartwii,Mario Kart Wii,2183,2183,2008-04-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co214e.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mass Effect,masseffect,Mass Effect,73,73,2007-11-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co1x7o.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mass Effect 2,masseffect2,Mass Effect 2,74,74,2010-01-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co20ac.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mega Man 2,megaman2,Mega Man 2,1715,1715,1989-06-02,https://images.igdb.com/igdb/image/upload/t_cover_big/co5x42.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mega Man 3,megaman3,Mega Man 3,1716,1716,1990-09-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co55ce.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mega Man X,megamanx,Mega Man X,1741,1741,1993-12-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co3tu2.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Mega Man X4,megamanx4,Mega Man X4,1744,1744,1997-08-01,https://images.igdb.com/igdb/image/upload/t_cover_big/coar91.jpg,high,IGDB正式名・別名の完全一致候補が1件
Metal Gear Rising: Revengeance,metalgearrisingrevengeance,Metal Gear Rising: Revengeance,378,378,2013-02-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co2l1t.jpg,high,IGDB正式名・別名の完全一致候補が1件
Metal Gear Solid,metalgearsolid,Metal Gear Solid,375,375,1998-09-03,https://images.igdb.com/igdb/image/upload/t_cover_big/cobpak.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Metal Gear Solid 2: Sons of Liberty,metalgearsolid2sonsofliberty,Metal Gear Solid 2: Sons of Liberty,376,376,2001-11-13,https://images.igdb.com/igdb/image/upload/t_cover_big/co5e1c.jpg,high,IGDB正式名・別名の完全一致候補が1件
Metal Gear Solid 3: Snake Eater,metalgearsolid3snakeeater,Metal Gear Solid 3: Snake Eater,379,379,2004-11-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ei5.jpg,high,IGDB正式名・別名の完全一致候補が1件
Metal Gear Solid 4: Guns of the Patriots,metalgearsolid4gunsofthepatriots,Metal Gear Solid 4: Guns of the Patriots,380,380,2008-06-12,https://images.igdb.com/igdb/image/upload/t_cover_big/co5eju.jpg,high,IGDB正式名・別名の完全一致候補が1件
Metaphor: ReFantazio,metaphorrefantazio,Metaphor: ReFantazio,26602,26602,2024-10-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d9t.jpg,high,IGDB正式名・別名の完全一致候補が1件
Metroid Dread,metroiddread,Metroid Dread,15698,15698,2021-10-07,https://images.igdb.com/igdb/image/upload/t_cover_big/coba9g.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Metroid Prime,metroidprime,Metroid Prime,1105,1105,2002-11-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co3w4w.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Minecraft,minecraft,Minecraft,135400,135400,2016-12-19,https://images.igdb.com/igdb/image/upload/t_cover_big/co8fu7.jpg,high,IGDB正式名・別名の完全一致候補が1件
Minecraft: Java Edition,minecraftjavaedition,Minecraft: Java Edition,121,121,2011-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/coa77e.jpg,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter 2,monsterhunter2,Monster Hunter 2,43668,43668,2006-02-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co56p6.jpg,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter 4,monsterhunter4,Monster Hunter 4,65676,65676,2013-09-14,https://images.igdb.com/igdb/image/upload/t_cover_big/coaxow.jpg,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Freedom Unite,monsterhunterfreedomunite,Monster Hunter Freedom Unite,20427,20427,2008-03-27,https://images.igdb.com/igdb/image/upload/t_cover_big/cocpe7.jpg,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Generations Ultimate,monsterhuntergenerationsultimate,Monster Hunter Generations Ultimate,25623,25623,2017-03-18,https://images.igdb.com/igdb/image/upload/t_cover_big/m0l4ma2qdh7z2m5o6m5l.jpg,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Rise,monsterhunterrise,Monster Hunter Rise,138950,138950,2021-03-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co3uzk.jpg,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Rise: Sunbreak,monsterhunterrisesunbreak,Monster Hunter Rise: Sunbreak,172425,172425,2022-06-29,https://images.igdb.com/igdb/image/upload/t_cover_big/cob3ct.jpg,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter Tri,monsterhuntertri,Monster Hunter 3,2268,2268,2009-08-01,https://images.igdb.com/igdb/image/upload/t_cover_big/co2ssf.jpg,high,IGDB別名『Monster Hunter 3 (tri-)』『モンスターハンター3』から原作を確定。3 Ultimateとは分離
Monster Hunter Wilds,monsterhunterwilds,Monster Hunter Wilds,279661,279661,2025-02-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co904o.jpg,high,IGDB正式名・別名の完全一致候補が1件
Monster Hunter: World - Iceborne,monsterhunterworldiceborne,Monster Hunter: World - Iceborne,113344,113344,2019-09-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co1pds.jpg,high,IGDB正式名・別名の完全一致候補が1件
Mother 3,mother3,Mother 3,3683,3683,2006-04-20,https://images.igdb.com/igdb/image/upload/t_cover_big/coa3qi.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
NEO: The World Ends with You,neotheworldendswithyou,NEO: The World Ends with You,141192,141192,2021-07-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co8kzv.jpg,high,IGDB正式名・別名の完全一致候補が1件
Nier Replicant,nierreplicant,NieR Replicant,80468,80468,2010-04-22,https://images.igdb.com/igdb/image/upload/t_cover_big/coayqc.jpg,high,IGDB正式名・別名の完全一致候補が1件
NieR: Automata,nierautomata,NieR: Automata,11208,11208,2017-02-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pcj.jpg,high,IGDB正式名・別名の完全一致候補が1件
Nights Into Dreams...,nightsintodreams,NiGHTS into Dreams...,5075,5075,1996-07-05,https://images.igdb.com/igdb/image/upload/t_cover_big/co2n17.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Octopath Traveler,octopathtraveler,Octopath Traveler,26765,26765,2018-07-13,https://images.igdb.com/igdb/image/upload/t_cover_big/cocj93.jpg,high,IGDB正式名・別名の完全一致候補が1件
Octopath Traveler II,octopathtravelerii,Octopath Traveler II,217554,217554,2023-02-24,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ds7.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ōkami,okami,Ōkami,1271,1271,2006-04-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co3mpk.jpg,high,IGDB正式名・別名の完全一致候補が1件
Omori,omori,OMORI,26673,26673,2020-12-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xlp.jpg,high,IGDB正式名・別名の完全一致候補が1件
OneShot,oneshot,OneShot,225565,225565,2014-06-30,https://images.igdb.com/igdb/image/upload/t_cover_big/co5rp6.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Ori and the Blind Forest,oriandtheblindforest,Ori and the Blind Forest,7344,7344,2015-03-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co1y41.jpg,high,IGDB正式名・別名の完全一致候補が1件
Ori and the Will of the Wisps,oriandthewillofthewisps,Ori and the Will of the Wisps,37001,37001,2020-03-10,https://images.igdb.com/igdb/image/upload/t_cover_big/cocjl7.jpg,high,IGDB正式名・別名の完全一致候補が1件
Paper Mario,papermario,Paper Mario,3340,3340,2000-08-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co1qda.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Paper Mario: The Thousand-Year Door,papermariothethousandyeardoor,Paper Mario: The Thousand-Year Door,3349,3349,2004-07-22,https://images.igdb.com/igdb/image/upload/t_cover_big/co25us.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Persona 3,persona3,Persona 3,9577,9577,2006-07-13,https://images.igdb.com/igdb/image/upload/t_cover_big/co5mo6.jpg,high,IGDB正式名・別名の完全一致候補が1件
Persona 3 Reload,persona3reload,Persona 3 Reload,252647,252647,2024-02-02,https://images.igdb.com/igdb/image/upload/t_cover_big/coc4jz.jpg,high,IGDB正式名・別名の完全一致候補が1件
Persona 4,persona4,Persona 4,9600,9600,2008-07-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co1u07.jpg,high,IGDB正式名・別名の完全一致候補が1件
Persona 5,persona5,Persona 5,9927,9927,2016-09-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co1r76.jpg,high,IGDB正式名・別名の完全一致候補が1件
Persona 5 Royal,persona5royal,Persona 5 Royal,114283,114283,2019-10-31,https://images.igdb.com/igdb/image/upload/t_cover_big/coclf1.jpg,high,IGDB正式名・別名の完全一致候補が1件
Pikmin,pikmin,Pikmin,2239,2239,2001-10-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co6nqg.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Pikmin 2,pikmin2,Pikmin 2,2240,2240,2004-04-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co5y6q.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Pizza Tower,pizzatower,Pizza Tower,135818,135818,2023-01-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co5uu1.jpg,high,IGDB正式名・別名の完全一致候補が1件
Pokémon Legends: Arceus,pokemonlegendsarceus,Pokémon Legends: Arceus,144054,144054,2022-01-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co3d03.jpg,high,IGDB正式名・別名の完全一致候補が1件
Pokémon Omega Ruby and Alpha Sapphire,pokemonomegarubyandalphasapphire,Pokémon Omega Ruby and Alpha Sapphire,6897,6897|6898,2014-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/cocjdd.jpg,high,ペア各版をIGDBで個別照合し、1つのlogical gameに統合する候補
Pokémon Platinum Version,pokemonplatinumversion,Pokémon Platinum,1519,1519,2008-09-13,https://images.igdb.com/igdb/image/upload/t_cover_big/co8gvp.jpg,high,IGDB正式名・別名の完全一致候補が1件
Pokémon Ultra Sun and Ultra Moon,pokemonultrasunandultramoon,Pokémon Ultra Sun and Ultra Moon,36792,36792|36793,2017-11-17,https://images.igdb.com/igdb/image/upload/t_cover_big/co1zjs.jpg,high,ペア各版をIGDBで個別照合し、1つのlogical gameに統合する候補
Pop'n music,popnmusic,pop'n music,186652,186652,1998-09-28,https://images.igdb.com/igdb/image/upload/t_cover_big/co5xwj.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Portal,portal,Portal,14546,14546,1986-11-01,https://images.igdb.com/igdb/image/upload/t_cover_big/co4i78.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Portal 2,portal2,Portal 2,72,72,2011-04-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rs4.jpg,high,IGDB正式名・別名の完全一致候補が1件
Princess Connect! Re:Dive,princessconnectredive,Princess Connect! Re:Dive,22791,22791,2018-02-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co2zh4.jpg,high,IGDB正式名・別名の完全一致候補が1件
Punishing: Gray Raven,punishinggrayraven,Punishing: Gray Raven,132185,132185,2019-12-05,https://images.igdb.com/igdb/image/upload/t_cover_big/coc6hi.jpg,high,IGDB正式名・別名の完全一致候補が1件
Red Dead Redemption 2,reddeadredemption2,Red Dead Redemption 2,25076,25076,2018-10-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co1q1f.jpg,high,IGDB正式名・別名の完全一致候補が1件
Resident Evil 2,residentevil2,Resident Evil 2,880,880,1998-01-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co2vz0.jpg,medium,同名候補8件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Resident Evil 4,residentevil4,Resident Evil 4,974,974,2005-01-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co2wk8.jpg,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Resident Evil 7: Biohazard,residentevil7biohazard,Resident Evil 7 biohazard,19562,19562,2017-01-24,https://images.igdb.com/igdb/image/upload/t_cover_big/cobtwh.jpg,high,IGDB正式名・別名の完全一致候補が1件
Resident Evil Village,residentevilvillage,Resident Evil Village,55163,55163,2021-05-06,https://images.igdb.com/igdb/image/upload/t_cover_big/coab9q.jpg,high,IGDB正式名・別名の完全一致候補が1件
Risk of Rain 2,riskofrain2,Risk of Rain 2,28512,28512,2020-08-11,https://images.igdb.com/igdb/image/upload/t_cover_big/coaavb.jpg,high,IGDB正式名・別名の完全一致候補が1件
Romancing SaGa 2,romancingsaga2,Romancing SaGa 2,11312,11312,1993-12-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co24oa.jpg,high,IGDB正式名・別名の完全一致候補が1件
Romancing SaGa 3,romancingsaga3,Romancing SaGa 3,11313,11313,1995-11-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co2x8k.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
SaGa Frontier,sagafrontier,SaGa Frontier,11310,11310,1997-07-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co2x4z.jpg,high,IGDB正式名・別名の完全一致候補が1件
Secret of Mana,secretofmana,Secret of Mana,3216,3216,1993-08-06,https://images.igdb.com/igdb/image/upload/t_cover_big/co2u6w.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sekiro: Shadows Die Twice,sekiroshadowsdietwice,Sekiro: Shadows Die Twice,76882,76882,2019-03-22,https://images.igdb.com/igdb/image/upload/t_cover_big/co2a23.jpg,high,IGDB正式名・別名の完全一致候補が1件
Shin Megami Tensei III: Nocturne,shinmegamitenseiiiinocturne,Shin Megami Tensei III: Nocturne,336392,336392,2003-02-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co9klt.jpg,high,IGDB正式名・別名の完全一致候補が1件
Shin Megami Tensei IV,shinmegamitenseiiv,Shin Megami Tensei IV,6886,6886,2013-05-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co1n26.jpg,high,IGDB正式名・別名の完全一致候補が1件
Shin Megami Tensei V,shinmegamitenseiv,Shin Megami Tensei V,26775,26775,2021-11-12,https://images.igdb.com/igdb/image/upload/t_cover_big/co39zk.jpg,high,IGDB正式名・別名の完全一致候補が1件
Shovel Knight,shovelknight,Shovel Knight,7444,7444,2014-06-26,https://images.igdb.com/igdb/image/upload/t_cover_big/cobaa7.jpg,high,IGDB正式名・別名の完全一致候補が1件
Silent Hill 2,silenthill2,Silent Hill 2,481,481,2001-09-24,https://images.igdb.com/igdb/image/upload/t_cover_big/co2vyg.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Silent Hill 3,silenthill3,Silent Hill 3,482,482,2003-05-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co3kol.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Silent Hill f,silenthillf,Silent Hill,222343,222343,2025-09-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co9wy4.jpg,high,IGDB正式名・別名の完全一致候補が1件
Sonic Adventure,sonicadventure,Sonic Adventure,7860,7860,1998-12-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co5jac.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Adventure 2,sonicadventure2,Sonic Adventure 2,7858,7858,2001-06-19,https://images.igdb.com/igdb/image/upload/t_cover_big/cobqpd.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic CD,soniccd,Sonic CD,5452,5452,1993-09-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co53t2.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Colors,soniccolors,Sonic Colors,2267,2267,2010-11-11,https://images.igdb.com/igdb/image/upload/t_cover_big/co4wdr.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Frontiers,sonicfrontiers,Sonic Frontiers,150010,150010,2022-11-07,https://images.igdb.com/igdb/image/upload/t_cover_big/co5p52.jpg,high,IGDB正式名・別名の完全一致候補が1件
Sonic Generations,sonicgenerations,Sonic Generations,506,506,2011-11-01,https://images.igdb.com/igdb/image/upload/t_cover_big/co1zvv.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Heroes,sonicheroes,Sonic Heroes,4156,4156,2003-12-30,https://images.igdb.com/igdb/image/upload/t_cover_big/co9olx.jpg,high,IGDB正式名・別名の完全一致候補が1件
Sonic the Hedgehog,sonicthehedgehog,Sonic the Hedgehog,3192,3192,1991-06-23,https://images.igdb.com/igdb/image/upload/t_cover_big/coanlj.jpg,medium,同名候補18件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic the Hedgehog 2,sonicthehedgehog2,Sonic the Hedgehog 2,112884,112884,1992-10-16,https://images.igdb.com/igdb/image/upload/t_cover_big/co1zus.jpg,medium,同名候補7件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic Unleashed,sonicunleashed,Sonic Unleashed,133942,133942,2008-11-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co2v6n.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Sonic X Shadow Generations,sonicxshadowgenerations,Sonic X Shadow Generations,284716,284716,2024-10-25,https://images.igdb.com/igdb/image/upload/t_cover_big/co8byo.jpg,high,IGDB正式名・別名の完全一致候補が1件
Sound Voltex Nabla,soundvoltexnabla,SOUND VOLTEX,382474,382474,2025-12-24,https://images.igdb.com/igdb/image/upload/t_cover_big/cob3pp.jpg,high,IGDB正式名・別名の完全一致候補が1件
Splatoon,splatoon,Splatoon,7335,7335,2015-05-28,https://images.igdb.com/igdb/image/upload/t_cover_big/cob8ra.jpg,high,IGDB正式名・別名の完全一致候補が1件
Splatoon 2,splatoon2,Splatoon 2,26761,26761,2017-07-21,https://images.igdb.com/igdb/image/upload/t_cover_big/cob8r9.jpg,high,IGDB正式名・別名の完全一致候補が1件
Splatoon 3,splatoon3,Splatoon 3,143613,143613,2022-09-09,https://images.igdb.com/igdb/image/upload/t_cover_big/co59x3.jpg,high,IGDB正式名・別名の完全一致候補が1件
Stardew Valley,stardewvalley,Stardew Valley,17000,17000,2016-02-26,https://images.igdb.com/igdb/image/upload/t_cover_big/coa93h.jpg,high,IGDB正式名・別名の完全一致候補が1件
Stellar Blade,stellarblade,Stellar Blade,117170,117170,2024-04-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co9s0t.jpg,high,IGDB正式名・別名の完全一致候補が1件
Street Fighter 6,streetfighter6,Street Fighter 6,191692,191692,2023-06-02,https://images.igdb.com/igdb/image/upload/t_cover_big/co9wxo.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Street Fighter II,streetfighterii,Street Fighter II,3186,3186,1991-02-01,https://images.igdb.com/igdb/image/upload/t_cover_big/co55et.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Street Fighter III: 3rd Strike,streetfighteriii3rdstrike,Street Fighter III: 3rd Strike,6710,6710,1999-05-12,https://images.igdb.com/igdb/image/upload/t_cover_big/co6bkh.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Street Fighter IV,streetfighteriv,Street Fighter IV,884,884,2008-07-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co1w4t.jpg,high,IGDB正式名・別名の完全一致候補が1件
Super Mario 3D World,supermario3dworld,Super Mario 3D World,2180,2180,2013-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/cob8wi.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Bros.,supermariobros,Super Mario Bros.,358,358,1985-09-13,https://images.igdb.com/igdb/image/upload/t_cover_big/co6pib.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Bros. 3,supermariobros3,Super Mario Bros. 3,1068,1068,1988-10-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co7ozx.jpg,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Bros.: The Lost Levels,supermariobrosthelostlevels,Super Mario Bros. 2,1066,1066,1986-06-03,https://images.igdb.com/igdb/image/upload/t_cover_big/co23bj.jpg,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Galaxy,supermariogalaxy,Super Mario Galaxy,1077,1077,2007-11-01,https://images.igdb.com/igdb/image/upload/t_cover_big/co21ro.jpg,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Galaxy 2,supermariogalaxy2,Super Mario Galaxy 2,1078,1078,2010-05-23,https://images.igdb.com/igdb/image/upload/t_cover_big/co21tl.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario Odyssey,supermarioodyssey,Super Mario Odyssey,26758,26758,2017-10-27,https://images.igdb.com/igdb/image/upload/t_cover_big/co1mxf.jpg,high,IGDB正式名・別名の完全一致候補が1件
Super Mario Sunshine,supermariosunshine,Super Mario Sunshine,1075,1075,2002-07-19,https://images.igdb.com/igdb/image/upload/t_cover_big/cob8q1.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Mario World,supermarioworld,Super Mario World,1070,1070,1990-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co8lo8.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Smash Bros. Brawl,supersmashbrosbrawl,Super Smash Bros. Brawl,1628,1628,2008-01-31,https://images.igdb.com/igdb/image/upload/t_cover_big/co221w.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Super Smash Bros. Melee,supersmashbrosmelee,Super Smash Bros. Melee,1627,1627,2001-11-21,https://images.igdb.com/igdb/image/upload/t_cover_big/co21yv.jpg,high,IGDB正式名・別名の完全一致候補が1件
Super Smash Bros. Ultimate,supersmashbrosultimate,Super Smash Bros. Ultimate,90101,90101,2018-12-07,https://images.igdb.com/igdb/image/upload/t_cover_big/co2255.jpg,high,IGDB正式名・別名の完全一致候補が1件
Taiko no Tatsujin: Niji-iro Version,taikonotatsujinnijiiroversion,Taiko no Tatsujin,319924,319924,2020-03-24,https://images.igdb.com/igdb/image/upload/t_cover_big/coa3xx.jpg,high,IGDB正式名・別名の完全一致候補が1件
Tales of Arise,talesofarise,Tales of Arise,119270,119270,2021-09-10,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ls2.jpg,high,IGDB正式名・別名の完全一致候補が1件
Tales of Berseria,talesofberseria,Tales of Berseria,18812,18812,2016-08-18,https://images.igdb.com/igdb/image/upload/t_cover_big/co1rk1.jpg,high,IGDB正式名・別名の完全一致候補が1件
Tales of Phantasia,talesofphantasia,Tales of Phantasia,1200,1200,1995-12-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co25yi.jpg,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tales of Symphonia,talesofsymphonia,Tales of Symphonia,1204,1204,2003-08-29,https://images.igdb.com/igdb/image/upload/t_cover_big/co1peo.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tales of the Abyss,talesoftheabyss,Tales of the Abyss,1207,1207,2005-12-15,https://images.igdb.com/igdb/image/upload/t_cover_big/co4yw8.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tales of Vesperia,talesofvesperia,Tales of Vesperia,1209,1209,2008-08-07,https://images.igdb.com/igdb/image/upload/t_cover_big/co5gb4.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tekken 3,tekken3,Tekken 3,1244,1244,1997-03-20,https://images.igdb.com/igdb/image/upload/t_cover_big/co8d7q.jpg,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tekken 5,tekken5,Tekken 5,393526,393526,2004-11-16,https://images.igdb.com/igdb/image/upload/t_cover_big/cobp86.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tekken 7,tekken7,Tekken 7,394038,394038,2015-03-18,https://images.igdb.com/igdb/image/upload/t_cover_big/cobq31.jpg,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）
Tekken 8,tekken8,Tekken 8,217590,217590,2024-01-26,https://images.igdb.com/igdb/image/upload/t_cover_big/co7lbb.jpg,high,IGDB正式名・別名の完全一致候補が1件
