rank,bgm_title,source_game_title,logical_game_name,existing_game_id,new_game_required,igdb_id,duplicate_status,confidence,notes,candidate_igdb_ids,candidate_igdb_names,human_check_required
286,Hikari,Kingdom Hearts,Kingdom Hearts,,true,393742,distinct_confirmed,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）。重複判定: Simple and Cleanとは言語・歌詞・録音が異なるため別曲として維持,301925|1219|393742,Kingdom Hearts|Kingdom Hearts|Kingdom Hearts,同名移植候補から原作IDを確認
291,Adventure,Dragon Quest III,Dragon Warrior III,,true,205600,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1814|205600,Dragon Quest III: The Seeds of Salvation|Dragon Warrior III,同名移植候補から原作IDを確認
295,地上BGM,Super Mario Bros. 3,Super Mario Bros. 3,,true,1068,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,172539|222099|1068|158723|270351,Super Mario Bros. 3 Game Watch|Super Mario Bros. 3|Super Mario Bros. 3|Super Mario Bros. 3|Super Mario Bros. 3,同名移植候補から原作IDを確認
298,The Front Hall,Resident Evil 2,Resident Evil 2,,true,880,not_duplicate,medium,同名候補8件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,396728|210710|347128|880|287844|19686|217953|186400,Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2,同名移植候補から原作IDを確認
302,地上BGM,Super Mario World,Super Mario World,,true,1070,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,270346|178104|150031|1070,Super Mario World|Super Mario World|Super Mario World|Super Mario World,同名移植候補から原作IDを確認
309,Bob-omb Battlefield,Super Mario 64,Super Mario 64,3,false,1074,not_duplicate,medium,既存logical game一致。同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,229245|1074,Super Mario 64|Super Mario 64,同名移植候補から原作IDを確認
316,Delfino Plaza,Super Mario Sunshine,Super Mario Sunshine,,true,1075,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,229177|1075,Super Mario Sunshine|Super Mario Sunshine,同名移植候補から原作IDを確認
318,Public Enemy,Devil May Cry,Devil May Cry,,true,134,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,302713|338320|222654|302712|134,Devil May Cry|Devil May Cry|Devil May Cry|Devil May Cry|Devil May Cry,同名移植候補から原作IDを確認
322,Sky Station Galaxy,Super Mario Galaxy 2,Super Mario Galaxy 2,,true,1078,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1078|366900,Super Mario Galaxy 2|Super Mario Galaxy 2,同名移植候補から原作IDを確認
323,Gypsy Dance,Dragon Quest IV,Dragon Warrior IV,,true,16584,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,216304|145467|16584,Dragon Quest IV: Chapters of the Chosen|Dragon Quest IV: Michibikareshi Mono-tachi|Dragon Warrior IV,同名移植候補から原作IDを確認
324,Shall Never Surrender,Devil May Cry 4,Devil May Cry 4,,true,112,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,112|289491,Devil May Cry 4|Devil May Cry 4,同名移植候補から原作IDを確認
327,U.M.A. NEW WORLD!!,Uma Musume: Pretty Derby,Uma Musume: Pretty Derby,,true,,not_duplicate,low,IGDB検索候補なし,,,作品・版・拡張の特定が必要
328,Super Bell Hill,Super Mario 3D World,Super Mario 3D World,,true,2180,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,229339|2180,Super Mario 3D World|Super Mario 3D World,同名移植候補から原作IDを確認
329,Toward the Horizon,Dragon Quest V,Dragon Quest V: Tenkuu no Hanayome,,true,205595,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,144540|205595,Dragon Quest V: Tenkuu no Hanayome|Dragon Quest V: Tenkuu no Hanayome,同名移植候補から原作IDを確認
330,Snake Man Stage,Mega Man 3,Mega Man 3,,true,1716,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,102418|198813|236706|1716,Mega Man 3 Mobile|Mega Man 3|Mega Man 3|Mega Man 3,同名移植候補から原作IDを確認
338,My Burden Is Light,OneShot,OneShot,,true,225565,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,23181|225565|131216,OneShot|OneShot|Pointblank,同名移植候補から原作IDを確認
346,Rawk Hawk Battle,Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,,true,3349,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,3349|266690|328663,Paper Mario: The Thousand-Year Door|Paper Mario: The Thousand-Year Door|Paper Mario: The Thousand-Year Door,同名移植候補から原作IDを確認
349,You're Not Here,Silent Hill 3,Silent Hill 3,,true,482,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,222486|482,Silent Hill 3|Silent Hill 3,同名移植候補から原作IDを確認
350,Instrument of Surrender,Disco Elysium,Disco Elysium,,true,26472,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,140050|335434|26472,Disco Elysium: Game Boy Edition|Disco Elysium|Disco Elysium,同名移植候補から原作IDを確認
351,凛として咲く花の如く,pop'n music,Pop'n music,,true,186652,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,186652|281400|51020,Pop'n music|Pop'n Music|Pop'n Music,同名移植候補から原作IDを確認
352,In the Final,Mario & Luigi: Bowser's Inside Story,Mario & Luigi: Bowser's Inside Story,,true,3363,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,3363|270315,Mario & Luigi: Bowser's Inside Story|Mario & Luigi: Bowser's Inside Story,同名移植候補から原作IDを確認
354,Reach for the Stars,Sonic Colors,Sonic Colors,,true,2267,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,45986|2267,Sonic Colors|Sonic Colors,同名移植候補から原作IDを確認
360,Rooftop Run - Modern,Sonic Generations,Sonic Generations,,true,506,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,506|128798|264885|320894,Sonic Generations|Sonic Generations|Sonic Generations|Sonic Generations,同名移植候補から原作IDを確認
379,Uncharted Worlds,Mass Effect,Mass Effect,,true,73,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,131436|73|243928|13784,Mass Effect|Mass Effect|Mass Effect|Mass Effect: Bring Down the Sky,同名移植候補から原作IDを確認
384,The End of Denial,Like a Dragon: Infinite Wealth,Like a Dragon: Infinite Wealth - Master Vacation Bundle,,true,288217,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,217623|288217,Like a Dragon: Infinite Wealth|Like a Dragon: Infinite Wealth - Master Vacation Bundle,同名移植候補から原作IDを確認
390,Let Mom Sleep,Jet Set Radio,Jet Set Radio,,true,398453,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,21004|398453|279629|1569|145186,Jet Set Radio|Jet Set Radio|Jet Set Radio|Jet Grind Radio|Jet Grind Radio,同名移植候補から原作IDを確認
392,On Little Cat Feet,OneShot,OneShot,,true,225565,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,23181|225565|131216,OneShot|OneShot|Pointblank,同名移植候補から原作IDを確認
399,GIRLS' LEGEND U,Uma Musume: Pretty Derby,Uma Musume: Pretty Derby,,true,,not_duplicate,low,IGDB検索候補なし,,,作品・版・拡張の特定が必要
402,Heat Haze Shadow 2,Tekken 7,Tekken 7,,true,394038,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,7498|394038,Tekken 7|Tekken 7,同名移植候補から原作IDを確認
404,"Whirling-In-Rags, 8 AM",Disco Elysium,Disco Elysium,,true,26472,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,140050|335434|26472,Disco Elysium: Game Boy Edition|Disco Elysium|Disco Elysium,同名移植候補から原作IDを確認
411,Main Theme,Super Smash Bros. Ultimate,Super Smash Bros. Ultimate,,true,90101,needs_review,low,名称が曖昧。既存『命の灯火』のボーカル版・インスト版のどちらを指すか特定不能,,,作品・版・拡張の特定が必要
412,Fighting of the Spirit,Tales of Phantasia,Tales of Phantasia,,true,1200,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1200|196660|196654|196633,Tales of Phantasia|Tales of Phantasia|Tales of Phantasia|Tales of Phantasia,同名移植候補から原作IDを確認
414,The Second Malformation of G,Resident Evil 2,Resident Evil 2,,true,880,not_duplicate,medium,同名候補8件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,396728|210710|347128|880|287844|19686|217953|186400,Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2|Resident Evil 2,同名移植候補から原作IDを確認
417,Fighting of the Spirit,Tales of Symphonia,Tales of Symphonia,,true,1204,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,221717|221716|1204,Tales of Symphonia|Tales of Symphonia|Tales of Symphonia,同名移植候補から原作IDを確認
420,neu,pop'n music,Pop'n music,,true,186652,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,186652|281400|51020,Pop'n music|Pop'n Music|Pop'n Music,同名移植候補から原作IDを確認
422,Fury Sparks,Tales of Vesperia,Tales of Vesperia,,true,1209,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,221059|1209,Tales of Vesperia|Tales of Vesperia,同名移植候補から原作IDを確認
423,Clock Tower,Castlevania: Aria of Sorrow,Castlevania: Aria of Sorrow,,true,1134,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1134|398836|345887|222412,Castlevania: Aria of Sorrow|Castlevania: Aria of Sorrow|Castlevania: Aria of Sorrow|Castlevania: Aria of Sorrow,同名移植候補から原作IDを確認
436,Main Menu,Metroid Prime,Metroid Prime,,true,1105,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,134257|1105|360405,Metroid Prime|Metroid Prime|Metroid Prime,同名移植候補から原作IDを確認
440,Seashore War,Donkey Kong Country: Tropical Freeze,Donkey Kong Country: Tropical Freeze,,true,2923,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,85576|2923,Donkey Kong Country: Tropical Freeze|Donkey Kong Country: Tropical Freeze,同名移植候補から原作IDを確認
442,Lock & Load,Devil May Cry,Devil May Cry,,true,134,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,302713|338320|222654|302712|134,Devil May Cry|Devil May Cry|Devil May Cry|Devil May Cry|Devil May Cry,同名移植候補から原作IDを確認
444,Onett Theme,EarthBound,Earthbound,,true,78559,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,78559|2899|11191,Earthbound|EarthBound|EarthBound Beginnings,同名移植候補から原作IDを確認
446,The Time Has Come,Devil May Cry 4,Devil May Cry 4,,true,112,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,112|289491,Devil May Cry 4|Devil May Cry 4,同名移植候補から原作IDを確認
448,Strong One,Mother 3,Mother 3,,true,3683,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,133324|3683,EarthBound 64|Mother 3,同名移植候補から原作IDを確認
450,Top Man Stage,Mega Man 3,Mega Man 3,,true,1716,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,102418|198813|236706|1716,Mega Man 3 Mobile|Mega Man 3|Mega Man 3|Mega Man 3,同名移植候補から原作IDを確認
451,End of Small Sanctuary,Silent Hill 3,Silent Hill 3,,true,482,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,222486|482,Silent Hill 3|Silent Hill 3,同名移植候補から原作IDを確認
459,Battle for the Glory,Dragon Quest IV,Dragon Warrior IV,,true,16584,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,216304|145467|16584,Dragon Quest IV: Chapters of the Chosen|Dragon Quest IV: Michibikareshi Mono-tachi|Dragon Warrior IV,同名移植候補から原作IDを確認
462,Make Me Feel Sad,Dragon Quest V,Dragon Quest V: Tenkuu no Hanayome,,true,205595,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,144540|205595,Dragon Quest V: Tenkuu no Hanayome|Dragon Quest V: Tenkuu no Hanayome,同名移植候補から原作IDを確認
463,砦のボス,Super Mario Bros. 3,Super Mario Bros. 3,,true,1068,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,172539|222099|1068|158723|270351,Super Mario Bros. 3 Game Watch|Super Mario Bros. 3|Super Mario Bros. 3|Super Mario Bros. 3|Super Mario Bros. 3,同名移植候補から原作IDを確認
465,おばけ屋敷BGM,Super Mario World,Super Mario World,,true,1070,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,270346|178104|150031|1070,Super Mario World|Super Mario World|Super Mario World|Super Mario World,同名移植候補から原作IDを確認
467,Bowser's Road,Super Mario 64,Super Mario 64,3,false,1074,not_duplicate,medium,既存logical game一致。同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,229245|1074,Super Mario 64|Super Mario 64,同名移植候補から原作IDを確認
469,Bianco Hills,Super Mario Sunshine,Super Mario Sunshine,,true,1075,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,229177|1075,Super Mario Sunshine|Super Mario Sunshine,同名移植候補から原作IDを確認
470,Cloudy Court Galaxy,Super Mario Galaxy 2,Super Mario Galaxy 2,,true,1078,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,1078|366900,Super Mario Galaxy 2|Super Mario Galaxy 2,同名移植候補から原作IDを確認
471,World Bowser,Super Mario 3D World,Super Mario 3D World,,true,2180,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,229339|2180,Super Mario 3D World|Super Mario 3D World,同名移植候補から原作IDを確認
474,Shadow Queen Battle,Paper Mario: The Thousand-Year Door,Paper Mario: The Thousand-Year Door,,true,3349,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,3349|266690|328663,Paper Mario: The Thousand-Year Door|Paper Mario: The Thousand-Year Door|Paper Mario: The Thousand-Year Door,同名移植候補から原作IDを確認
475,The Grand Finale,Mario & Luigi: Bowser's Inside Story,Mario & Luigi: Bowser's Inside Story,,true,3363,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,3363|270315,Mario & Luigi: Bowser's Inside Story|Mario & Luigi: Bowser's Inside Story,同名移植候補から原作IDを確認
483,地上BGM,Super Mario Bros. 2,Super Mario Bros.: The Lost Levels,,true,1066,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,222098|163155|1067|1066|270345,Super Mario Bros. 2|Super Mario Bros. 2|Super Mario Bros. 2|Super Mario Bros.: The Lost Levels|Super Mario Bros. 2,同名移植候補から原作IDを確認
484,Battle Theme 1,Final Fantasy II,Final Fantasy II,,true,16474,not_duplicate,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,158981|16474|145817|387|290174|271819|380633|395|16587|399,Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy IV|Final Fantasy IV,同名移植候補から原作IDを確認
487,Koopa Bros. Battle,Paper Mario,Paper Mario,,true,3340,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,323287|3340,Paper Mario|Paper Mario,同名移植候補から原作IDを確認
488,Combat - Destiny,Triangle Strategy,Triangle Strategy,,true,143610,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,318779|143610,Triangle Strategy|Triangle Strategy,同名移植候補から原作IDを確認
489,Dreams Dreams,NiGHTS into Dreams...,Nights Into Dreams...,,true,5075,not_duplicate,medium,同名候補4件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,5075|19903|199025|198640,Nights Into Dreams...|Nights Into Dreams|Nights into Dreams|Nights into Dreams...,同名移植候補から原作IDを確認
493,Experiment No. Z-57 Battle,Metroid Dread,Metroid Dread,,true,15698,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,323061|233651|15698,Metroid Dread|Metroid Dread|Metroid Dread,同名移植候補から原作IDを確認
495,The Forest of Hope,Pikmin,Pikmin,,true,2239,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,84696|2239,Pikmin|Pikmin,同名移植候補から原作IDを確認
496,Rebel Army Theme,Final Fantasy II,Final Fantasy II,,true,16474,not_duplicate,medium,同名候補10件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,158981|16474|145817|387|290174|271819|380633|395|16587|399,Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy II|Final Fantasy IV|Final Fantasy IV,同名移植候補から原作IDを確認
497,Perplexing Pool,Pikmin 2,Pikmin 2,,true,2240,not_duplicate,medium,同名候補3件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,84697|254335|2240,Pikmin 2|Pikmin 2|Pikmin 2,同名移植候補から原作IDを確認
498,Combat - Subjugation,Triangle Strategy,Triangle Strategy,,true,143610,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,318779|143610,Triangle Strategy|Triangle Strategy,同名移植候補から原作IDを確認
499,地下BGM,Super Mario Bros. 2,Super Mario Bros.: The Lost Levels,,true,1066,not_duplicate,medium,同名候補5件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,222098|163155|1067|1066|270345,Super Mario Bros. 2|Super Mario Bros. 2|Super Mario Bros. 2|Super Mario Bros.: The Lost Levels|Super Mario Bros. 2,同名移植候補から原作IDを確認
500,Huff N. Puff Battle,Paper Mario,Paper Mario,,true,3340,not_duplicate,medium,同名候補2件。無印タイトルのため最初期リリースを候補化（remake/remasterは統合しない）,323287|3340,Paper Mario|Paper Mario,同名移植候補から原作IDを確認
